naam,a,b,e,T,lon_node,l_peri,omega_peri,t_peri
Maan , 382807.7558300155 , 382161.4123053768 , 0.05808619635938993 , 27.1152558967065 , 344.13115225419114 , 71.59957498992115 , 87.46842273572999 , 2460987.3772161948
Mercurius , 57908985.80291903 , 56671259.94747114 , 0.2056464171084324 , 87.96891007364778 , 48.29885112037489 , 77.4975239766825 , 29.198672856307606 , 2461002.976694747
Venus , 108208508.15381834 , 108206020.04223002 , 0.0067813588017344535 , 224.69938905591644 , 76.60714385631879 , 131.4129703184347 , 54.805826462115895 , 2460950.8715715846
Zon , 149678225.75388893 , 149655969.58001015 , 0.0172442691446997 , 365.55068021023715 , 193.06574581111508 , 282.7125669008087 , 89.6468210896937 , 2460678.3923672345
Mars , 227939566.95426375 , 226941327.17095068 , 0.09348599746062848 , 686.9732350966541 , 49.48353541838771 , 336.1126693138889 , 286.6291338955012 , 2460438.84049208
Jupiter , 778276726.936436 , 777369565.4567248 , 0.04826848698335995 , 4332.156557525198 , 100.51812704837856 , 14.053943033642568 , 273.535815985264 , 2459965.805381789
Saturnus , 1428226963.172136 , 1426036151.178591 , 0.05536717049367424 , 10773.184064872337 , 113.63176858957654 , 91.64787006058745 , 338.0161014710109 , 2452774.1116349716
